Date,Value
2015-04-06,23798.0
2015-04-07,23798.0
2015-04-08,23678.0
2015-04-09,23543.0
2015-04-10,23408.0
2015-04-13,23368.0
2015-04-14,23328.0
2015-04-15,23328.0
2015-04-16,23482.0
2015-04-17,23462.0
2015-04-20,23462.0
2015-04-21,23885.0
2015-04-22,23885.0
2015-04-23,23885.0
2015-04-24,24003.0
2015-04-27,24003.0
2015-04-28,25005.0
2015-04-29,25005.0
2015-04-30,25005.0
2015-05-01,25301.0
2015-05-04,25301.0
2015-05-05,24848.0
2015-05-06,24848.0
2015-05-07,24848.0
2015-05-08,24848.0
2015-05-11,25408.0
2015-05-12,25383.0
2015-05-13,25452.0
2015-05-14,25452.0
2015-05-15,25452.0
2015-05-18,25539.0
2015-05-19,25539.0
2015-05-20,25821.0
2015-05-21,25821.0
2015-05-22,25821.0
2015-05-26,25821.0
2015-05-27,25821.0
2015-05-28,26625.0
2015-05-29,26625.0
2015-06-01,26625.0
2015-06-02,26987.0
2015-06-03,26987.0
2015-06-04,26907.0
2015-06-05,26907.0
2015-06-08,26907.0
2015-06-09,26907.0
2015-06-10,26907.0
2015-06-11,26907.0
2015-06-12,26907.0
2015-06-15,26907.0
2015-06-16,26907.0
2015-06-17,27126.0
2015-06-18,27225.0
2015-06-19,27316.0
2015-06-22,27316.0
2015-06-23,27812.0
2015-06-24,28174.0
2015-06-25,28254.0
2015-06-26,28415.0
2015-06-29,28493.0
2015-06-30,29187.0
2015-07-01,30136.0
2015-07-02,31003.0
2015-07-03,31003.0
2015-07-06,31771.0
2015-07-07,32076.0
2015-07-08,32809.0
2015-07-09,33366.0
2015-07-10,34163.0
2015-07-13,37286.0
2015-07-14,38252.0
2015-07-15,38704.0
2015-07-16,39146.0
2015-07-17,40373.0
2015-07-20,40373.0
2015-07-21,40308.0
2015-07-22,41761.0
2015-07-23,43197.0
2015-07-24,44176.0
2015-07-27,45251.0
2015-07-28,46971.0
2015-07-29,47076.0
2015-07-30,47389.0
2015-07-31,47484.0
2015-08-03,47484.0
2015-08-04,47575.0
2015-08-05,47668.0
2015-08-06,47668.0
2015-08-07,47668.0
2015-08-10,47668.0
2015-08-11,47792.0
2015-08-12,48000.0
2015-08-13,48075.0
2015-08-14,48032.0
2015-08-17,48002.0
2015-08-18,48068.0
2015-08-19,48117.0
2015-08-20,48073.0
2015-08-21,48030.0
2015-08-24,47987.0
2015-08-25,47944.0
2015-08-26,47906.0
2015-08-27,47862.0
2015-08-28,47841.0
2015-08-31,47841.0
2015-09-01,47841.0
2015-09-02,47798.0
2015-09-03,47759.0
2015-09-04,47716.0
2015-09-08,47668.0
2015-09-09,47625.0
2015-09-10,47582.0
2015-09-11,47631.0
2015-09-14,47588.0
2015-09-15,47479.0
2015-09-16,47357.0
2015-09-17,47224.0
2015-09-18,47122.0
2015-09-21,47079.0
2015-09-22,47037.0
2015-09-23,46994.0
