Date,Value
2009-09-10,117262.0
2009-09-11,117911.0
2009-09-14,118540.0
2009-09-15,118017.0
2009-09-16,149253.0
2009-09-17,148680.0
2009-09-18,144139.0
2009-09-21,142072.0
2009-09-22,140164.0
2009-09-23,138594.0
2009-09-24,137471.0
2009-09-25,136547.0
2009-09-28,136175.0
2009-09-29,135307.0
2009-09-30,134778.0
2009-10-09,135526.0
2009-10-12,136054.0
2009-10-13,135954.0
2009-10-14,135954.0
2009-10-15,144147.0
2009-10-16,167670.0
2009-10-19,167670.0
2009-10-20,162196.0
2009-10-21,160313.0
2009-10-23,158699.0
2009-10-26,158152.0
2009-10-27,161062.0
2009-10-28,161859.0
2009-10-29,162784.0
2009-10-30,161812.0
2009-11-02,162837.0
2009-11-03,162564.0
2009-11-04,162567.0
2009-11-05,167055.0
2009-11-06,169380.0
2009-11-09,170506.0
2009-11-10,171112.0
2009-11-11,170866.0
2009-11-12,171720.0
2009-11-13,171372.0
2009-11-16,190581.0
2009-11-17,215235.0
2009-11-18,216641.0
2009-11-19,213242.0
2009-11-20,212176.0
2009-11-23,213153.0
2009-11-24,214830.0
2009-11-25,215157.0
2009-11-26,217885.0
2009-11-27,218461.0
2009-11-30,220264.0
2009-12-01,220617.0
2009-12-02,222638.0
2009-12-03,223636.0
2009-12-04,224288.0
2009-12-07,225331.0
2009-12-08,223717.0
2009-12-09,223518.0
2009-12-10,223518.0
2009-12-11,227199.0
2009-12-14,233488.0
2009-12-15,234687.0
2009-12-16,257589.0
2009-12-17,257589.0
2009-12-18,254785.0
2009-12-21,253147.0
2009-12-22,253048.0
2009-12-23,254445.0
2009-12-24,254996.0
2009-12-25,254699.0
2009-12-28,255327.0
2009-12-29,255154.0
2009-12-30,255776.0
2009-12-31,256025.0
2010-01-04,256998.0
2010-01-05,257699.0
2010-01-06,258150.0
2010-01-07,258150.0
2010-01-08,258051.0
2010-01-11,261050.0
2010-01-12,261201.0
2010-01-13,261377.0
2010-01-14,263626.0
2010-01-15,266056.0
2010-01-18,292757.0
2010-01-19,293504.0
2010-01-20,288187.0
2010-01-21,286826.0
2010-01-22,286065.0
2010-01-25,285693.0
2010-01-26,285396.0
2010-01-27,284699.0
2010-01-28,284625.0
2010-01-29,283031.0
2010-02-01,281601.0
2010-02-02,279629.0
2010-02-03,279433.0
2010-02-04,278712.0
2010-02-05,277941.0
2010-02-08,278454.0
2010-02-09,278831.0
2010-02-10,312781.0
2010-02-11,310780.0
2010-02-12,309835.0
2010-02-22,309364.0
2010-02-23,309264.0
2010-02-24,308942.0
2010-02-25,308794.0
2010-02-26,308645.0
2010-03-01,308052.0
2010-03-02,310978.0
2010-03-03,311252.0
2010-03-04,311501.0
2010-03-05,313175.0
2010-03-08,315354.0
2010-03-09,315404.0
2010-03-10,316728.0
2010-03-11,316754.0
2010-03-12,320566.0
2010-03-15,324965.0
2010-03-16,333015.0
2010-03-17,351134.0
2010-03-18,347499.0
2010-03-19,347076.0
2010-03-22,346827.0
2010-03-23,346927.0
2010-03-24,346951.0
2010-03-25,347654.0
2010-03-26,347555.0
2010-03-29,346712.0
2010-03-30,347739.0
2010-03-31,347538.0
2010-04-01,348609.0
2010-04-02,349585.0
2010-04-06,355043.0
2010-04-07,357340.0
2010-04-08,362636.0
2010-04-09,363280.0
2010-04-12,366502.0
2010-04-13,366776.0
2010-04-14,366730.0
2010-04-15,370026.0
2010-04-16,393095.0
2010-04-19,392995.0
2010-04-20,392246.0
2010-04-21,391528.0
